<region region="梁川">
区域概述: 大朔与西戈之间的狭长缓冲国，在两大霸权的夹缝中存活了四百年。国土不足大朔一个州，东西长约八百里、南北最窄处仅五十里——但这段距离足以让大朔和西戈的边境不直接接壤

地理特征: 一条南北向的山脉（"脊梁山"）纵贯全境，将梁川分割为东坡和西坡。东坡面对大朔、西坡面对西戈。山脉中有多条隘道往来东西——这既是梁川的生存资本（控制隘道等于控制两国间的陆路贸易）也是灭顶之灾的来源（任何一方想打另一方都要先踏平梁川）

体制: 梁川侯世袭，但实际权力在"梁川议会"——由商人和地主组成的贵族院。国王的职责是对外——准确地说，是在大朔和西戈之间做出"不站队的站队"
  生存智慧: 四百年间梁川发展出一套堪称艺术的生存策略：
    - 从不主动站队——等着看大朔先出兵还是西戈先表态，然后做选择
    - 每次"站队"都不彻底——给赢家面子（称臣纳贡），给输家后路（允许败军借道撤离）
    - 梁川的外交辞令是一绝——"梁川愿为大朔镇守西陲门户"这句话对西戈来说翻译过来就是"梁川不会让你轻松过境"，对大朔翻译过来是"你们不用在西陲驻军了"

兵力: 不到两万。每座城都是一座堡垒——梁川花了四百年把国土变成了一个巨大的防御工事

经济命脉: 隘道税——所有通过梁川的东西方贸易都要交过路费。梁川人也做"转口贸易"——大朔的铭痕器贴上梁川标签卖到西戈，西戈的矿石贴上梁川标签卖到大朔。两国都知道但默许——没有梁川这个中间人，两国连这点贸易都不会有

国策学派: 纵横家。梁川的国家战略由历代纵横家顾问制定——不是君主选择了纵横家，是梁川的生存条件决定了只有纵横家的思维方式能让它活下去

代表人物: 梁川侯"韩襄"（现任）、相国"虞期"（纵横家阖捭境修行者，在梁川服务了三十年）

城市分布:
  国都: 梁川城——城墙仅高四丈，大朔相国府与西戈使馆各据城东城西，税令墙每日张贴两国税率。
  关卡: 脊梁隘口
  粮仓: 东坡粮仓
  矿站: 西坡矿站
  牧区: 南甸
  渡口: 北津渡
  窑场: 白土窑
  集市: 杏林集、鸣犊镇
  驿道: 脊梁驿
</region>
